source_url	parsed_url
https://www.wikipedia.org	https://su.wikipedia.org/
https://www.wikipedia.org	https://hi.wikipedia.org/
https://www.wikipedia.org	https://sc.wikipedia.org/
https://www.wikipedia.org	https://smn.wikipedia.org/
https://www.wikipedia.org	https://csb.wikipedia.org/
https://www.wikipedia.org	https://hsb.wikipedia.org/
https://www.wikipedia.org	https://gl.wikipedia.org/
https://www.wikipedia.org	https://el.wikipedia.org/
https://www.wikipedia.org	https://tet.wikipedia.org/
https://www.wikipedia.org	https://wuu.wikipedia.org/
https://www.wikipedia.org	https://mad.wikipedia.org/
https://www.wikipedia.org	https://cr.wikipedia.org/
https://www.wikipedia.org	https://cu.wikipedia.org/
https://www.wikipedia.org	https://nl.wikipedia.org/
https://www.wikipedia.org	https://tl.wikipedia.org/
https://www.wikipedia.org	https://ee.wikipedia.org/
https://www.wikipedia.org	https://hu.wikipedia.org/
https://www.wikipedia.org	https://arz.wikipedia.org/
https://www.wikipedia.org	https://ary.wikipedia.org/
https://www.wikipedia.org	https://sco.wikipedia.org/
https://www.wikipedia.org	https://an.wikipedia.org/
https://www.wikipedia.org	https://no.wikipedia.org/
https://www.wikipedia.org	https://chr.wikipedia.org/
https://www.wikipedia.org	https://fiu-vro.wikipedia.org/
https://www.wikipedia.org	https://fj.wikipedia.org/
https://www.wikipedia.org	https://guw.wikipedia.org/
https://www.wikipedia.org	https://wo.wikipedia.org/
https://www.wikipedia.org	https://rw.wikipedia.org/
https://www.wikipedia.org	https://kn.wikipedia.org/
https://www.wikipedia.org	https://ks.wikipedia.org/
https://www.wikipedia.org	https://jbo.wikipedia.org/
https://www.wikipedia.org	https://kk.wikipedia.org/
https://www.wikipedia.org	https://crh.wikipedia.org/
https://www.wikipedia.org	https://nov.wikipedia.org/
https://www.wikipedia.org	https://da.wikipedia.org/
https://www.wikipedia.org	https://is.wikipedia.org/
https://www.wikipedia.org	https://www.wiktionary.org/
https://www.wikipedia.org	https://shn.wikipedia.org/
